country,iso3,year,gdp_per_capita_constant_2015_usd,population_density_per_km2,urbanization_percent,passenger_cars_per_1000,motorization_source
South Korea,KOR,2003,20278.0406421178,494.755475206612,80.707793508044,214.63,OECD/ITF
South Korea,KOR,2004,21244.8136800528,496.617630654823,81.104386778171,220.89,OECD/ITF
South Korea,KOR,2005,22123.7613066851,497.517408363449,81.3901352283669,230.82,OECD/ITF
South Korea,KOR,2006,23162.1860111297,499.982369942197,81.566462110512,239.62,OECD/ITF
South Korea,KOR,2007,24391.7651013448,502.307449442839,81.712125801927,248.54,OECD/ITF
South Korea,KOR,2008,24934.5396367691,505.770780492834,81.8350833138518,254.49,OECD/ITF
South Korea,KOR,2009,25009.9148311999,508.013960436843,81.9245045084002,264.13,OECD/ITF
South Korea,KOR,2010,26623.0487122927,509.815967078189,81.9685075986486,275.09,OECD/ITF
South Korea,KOR,2011,27393.455357272,513.804280275749,81.9615408086376,283.09,OECD/ITF
South Korea,KOR,2012,27944.0564190045,515.875583187751,81.9087898200378,290.38,OECD/ITF
South Korea,KOR,2013,28732.711152033,517.612269825303,81.8269383502703,299.0,OECD/ITF
South Korea,KOR,2014,29470.6732991655,520.852499230217,81.7315682816954,310.31,OECD/ITF
South Korea,KOR,2015,30171.7906545222,523.525547744882,81.639489860678,324.64,OECD/ITF
South Korea,KOR,2016,31005.4072876388,525.370072521002,81.5559241797057,338.52,OECD/ITF
South Korea,KOR,2017,31979.9027302467,526.734806686494,81.471030429984,351.13,OECD/ITF
South Korea,KOR,2018,32852.8887488942,528.969011484824,81.3823523035196,362.06,OECD/ITF
South Korea,KOR,2019,33496.3113815643,530.377274590164,81.2901063535619,370.47,OECD/ITF
South Korea,KOR,2020,33215.9298928108,531.109006147541,81.1759595622913,383.15,OECD/ITF
South Korea,KOR,2021,34792.9397214598,530.425604508197,81.1616526507785,394.26,OECD/ITF
South Korea,KOR,2022,35809.0138105144,529.43205942623,81.1624941626873,405.49,OECD/ITF
South Korea,KOR,2023,36347.7036392553,529.842407786885,81.1645551720421,413.64,OECD/ITF
South Korea,KOR,2024,37048.4264001496,,81.1682528469686,420.69,OECD/ITF
Sweden,SWE,1970,24623.249431809,19.7447020263431,81.2420904958891,,
Sweden,SWE,1971,24685.407089056,19.8810329560315,81.6540963032829,,
Sweden,SWE,1972,25175.8867084479,19.9398683703062,81.9892543928674,,
Sweden,SWE,1973,26129.7839499588,19.9742671779844,82.2714823512026,,
Sweden,SWE,1974,26887.3346708697,20.0323096422961,82.4984771597006,,
Sweden,SWE,1975,27464.4049610736,20.1120514401125,82.6647545470579,,
Sweden,SWE,1976,27654.2494023205,20.185329345507,82.7897023826296,,
